gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used
32,2792.33333333333,745.440411660142,864.017330119631,2870.89084249084,0.333333333333333,-940,0,0.75,0.186267460732178,6.35555555555556,8.13333333333333,9.62222222222222,0.145518638946529,0.148310071266416,0.646676219375855,0.671173664031505,0.17009369217747,89.4377711447123,0.116767651029512,0.707351308609551,0.175881040360937,0.1
33,2464.1619047619,609.625252373222,789.442915754108,2695.76095238095,0.266666666666667,-862,0,0.5,0.150854183455809,6.27777777777778,7.77777777777778,9.5,0.146826994137541,0.148835791973453,0.668263254937929,0.69216154146838,0.17349707134769,89.510718597477,0.134575869027089,0.713660497762801,0.15176363321011,0.1
34,2566.2717948718,331.887498411153,577.919325827335,2642.07027972028,0.1,-894,0,0.6,0.121521909105407,7.2,8.62222222222222,10.8,0.147150839480859,0.151758868775076,0.650812253403622,0.718026746605948,0.173365981549621,115.504777742533,0.120636211609607,0.705153049132428,0.174210739257966,0.1
35,2094.81685823755,494.617420107924,632.571140974046,2029.81506250242,0.177777777777778,-598,0,0.366666666666667,0.145395289886755,6.92222222222222,8.55555555555555,10.4555555555556,0.146814566438636,0.15017585709684,0.677453719201347,0.710612482192456,0.172393729378141,90.6655588271851,0.135850891787187,0.714532802753403,0.14961630545941,0.1
36,2541.33333333333,671.864072171029,803.537972044023,2623.82603174603,0.3,-894,0,0.5,0.158518784536026,6.3,7.68888888888889,9.56666666666667,0.148033206595689,0.151625530008475,0.674848310243676,0.719623880432899,0.173051881752449,90.4403512443982,0.121856532994464,0.693470552648714,0.184672914356822,0.1
37,2490.45641025641,638.487331340922,815.700330394873,2722.76974358974,0.3,-888,0,0.5,0.155945263084707,6.17777777777778,7.73333333333333,9.36666666666667,0.150588251775193,0.152687736266669,0.673985413796868,0.716505998842059,0.176104839995271,95.9304252024745,0.134970683957072,0.665400436838428,0.199628879204499,0.1
38,2449.62051282051,496.174076654038,690.195803464649,2362.7535300776,0.166666666666667,-892,0,0.5,0.144169173320351,6.86666666666667,8.51111111111111,10.3111111111111,0.148878185003747,0.153716581436688,0.682561071273328,0.729807213020471,0.172935595831864,92.3311915629881,0.149649430161536,0.680272834886422,0.170077734952042,0.1
39,2635.92380952381,778.542434129573,857.934346015894,2629.77390740181,0.366666666666667,-862,0,0.666666666666667,0.18680773279324,5.76666666666667,7.33333333333333,8.81111111111111,0.148193314676996,0.152404703155159,0.657254850218371,0.696527143928558,0.17667424788195,83.1313053514806,0.13755974621192,0.681485839710477,0.180954414077602,0.1
40,2580.20952380952,657.119391055661,808.690689204076,2589.6834936967,0.277777777777778,-866,0,0.666666666666667,0.160941246720537,6.53333333333333,7.86666666666667,9.87777777777778,0.15243012261399,0.155701896777548,0.692449040409511,0.723857540229991,0.180806621193847,97.1916427152082,0.1265517681776,0.697070716779579,0.176377515042821,0.1
41,1986.45714285714,502.600410584632,678.69778947529,1923.05943307006,0.2,-514,0,0.375,0.139024055236644,6.83333333333333,8.31111111111111,10.3,0.150390678283733,0.154545914070595,0.673271119676321,0.735539181020724,0.176590191156563,110.270663142096,0.137918587419514,0.68318062292945,0.178900789651037,0.1
42,2439.87450980392,783.48095470948,862.419861219919,2668.53482726424,0.366666666666667,-794,0,0.5,0.158752343603793,5.84444444444445,7.11111111111111,8.86666666666667,0.149111106988551,0.157730680285298,0.67283764530019,0.724133772476866,0.174493405665049,88.5516251592255,0.131463110560937,0.68941733360574,0.179119555833324,0.1
43,2468.25714285714,426.598080455513,594.260125506124,2335.61936507937,0.166666666666667,-866,0,0.5,0.130823336109549,7.21111111111111,8.57777777777778,10.9555555555556,0.154205939963259,0.155472022692009,0.70349684023779,0.739597747300405,0.179438698057355,99.9795096817615,0.148645751997428,0.655990294909097,0.195363953093474,0.1
44,2572.13777777778,523.399305631453,743.46801451166,2456.80338398227,0.188888888888889,-843.333333333333,0,0.666666666666667,0.150713446786271,6.62222222222222,8.11111111111111,10.0888888888889,0.150247322425416,0.152167975419015,0.691832258545178,0.707402005796051,0.175874841644664,100.191665290823,0.143936472924398,0.682939912051334,0.173123615024268,0.1
45,2029.42745098039,434.964770775613,587.233246923539,1953.0177615394,0.166666666666667,-362,0,0.333333333333333,0.125436452717314,6.5,8,9.76666666666667,0.153597981128029,0.15751685366814,0.687737121212218,0.754132158154306,0.180484686261918,98.4454801983597,0.140304044020832,0.689138010716122,0.170557945263046,0.1
46,2470.02857142857,417.921857321207,623.117913886615,2460.37354497355,0.133333333333333,-868,0,0.5,0.148980744660393,6.5,7.95555555555556,9.8,0.149169017284163,0.155327459433189,0.667293587066306,0.717799713419305,0.173672211183668,91.7537064454052,0.142743607064184,0.695286722726548,0.161969670209268,0.1
47,2494.12820512821,524.992006929888,716.050103987558,2426.97489424156,0.2,-892,0,0.5,0.148614273662302,7.18888888888889,8.91111111111111,10.7777777777778,0.153645699271646,0.158109970122007,0.709076138503556,0.754065146628894,0.178337189447868,102.495548388413,0.139968571744608,0.684470592997051,0.175560835258341,0.1
48,2572.76,332.26970357794,623.242767973275,2796.73714285714,0.1,-970,0,0.5,0.118076004625719,6.45555555555556,7.84444444444444,9.73333333333333,0.15596399988437,0.161016406555137,0.691398284614502,0.75847474199772,0.182789263687983,106.301802145565,0.141063411209714,0.6926154812716,0.166321107518686,0.1
49,2066.8,427.839574193965,623.924328627632,2187.36754385965,0.166666666666667,-362.666666666667,0,0.333333333333333,0.123017315868889,6.72222222222222,8.4,10.1111111111111,0.158354815054844,0.164348558190255,0.72462296029147,0.787439513337406,0.184728746845508,100.344011378574,0.160282532235745,0.650292455051463,0.189425012712793,0.1
50,2031.40202020202,400.844573483118,574.785568812964,1998.2010864952,0.133333333333333,-382,0,0.333333333333333,0.121988588039357,6.82222222222222,8.33333333333333,10.3333333333333,0.158264911425173,0.161148900808056,0.721615833518668,0.782647881865728,0.179970237797433,105.938413403579,0.134962406285014,0.683890205437924,0.181147388277063,0.1
51,1979.62745098039,493.516991466876,661.900137387607,2058.66439181733,0.2,-362,0,0.25,0.134062085411297,6.22222222222222,7.93333333333333,9.47777777777778,0.156962017916294,0.162380213506746,0.714576487906123,0.760143021552805,0.182590658811522,90.9456172777349,0.155421327556455,0.677671072394734,0.166907600048811,0.1
52,1988.66165099269,521.586028001724,671.724637233326,2214.65463344883,0.233333333333333,-490,0,0.363636363636364,0.150370788120871,6.33333333333333,8,9.5,0.15779100554355,0.163113387425248,0.713754161165501,0.756488882468437,0.183800946526635,88.4464352648182,0.170605310690172,0.627845844971331,0.201548844338498,0.1
53,2519.78666666667,486.387064781391,727.045624625743,2739.76827586207,0.166666666666667,-962,0,0.5,0.144532426109347,6.86666666666667,8.46666666666667,10.3666666666667,0.155199201635733,0.158419760830108,0.686395856602967,0.783712060117862,0.181268197753193,99.1880351860145,0.176572107381888,0.653137372764231,0.170290519853881,0.1
